size_sqft,bedrooms,age_years,price_usd
3974,2,7,215659
1660,4,23,101562
2094,1,10,108602
1930,4,16,130286
1895,2,7,118639
3892,2,34,195009
2438,1,34,110858
2969,2,32,149941
1266,5,4,115877
2038,2,41,103044
1130,4,38,74851
2282,4,40,136666
2935,4,27,173735
3971,4,6,240393
3719,5,8,228440
930,3,7,71362
2485,1,11,126789
1569,4,33,94632
3191,2,32,165031
2315,4,47,133555
3653,2,22,191676
3233,2,23,168977
2015,4,36,115673
1755,5,34,118647
3124,2,43,152986
1984,2,39,95689
1259,4,21,91644
821,2,26,50070
3100,2,34,167431
1547,4,0,118223
3704,4,34,209488
1274,1,36,55328
1882,5,46,111506
3358,5,13,211267
2847,2,2,161651
3547,5,0,239666
1775,2,4,105788
2606,1,25,129308
989,4,13,82776
3805,4,38,205407
3534,4,26,209414
3805,5,8,240010
1362,1,14,75055
2699,5,14,173403
2067,5,25,147864
3679,1,41,166441
2328,1,12,123334
1446,1,31,77752
2868,1,38,129447
3688,4,48,197569
